indices,timestamp,pd_peaks,piezo_peaks,ld_peaks,freq,lor_A,lor_mean,lor_gamma,lor_off,lor_d_A,lor_d_mean,lor_d_gamma,lor_d_off
321,-0.008471265,1.49072,-3.859108176065544,0.0650953671255359,377104390084020.94,0.15459582348003587,-3.8539917241093717,0.0500596715669442,-0.040915460085873046,0.0023295163280308453,0.0006965034439646903,0.0015843365640103321,0.0016020914761830135
661,-0.006771265,1.84551,-3.180703080708178,0.0570207683459467,377104798412020.94,0.08769739762470787,-3.1719310174181645,0.07410558218063082,-0.004596807213504851,0.0011891580404214319,0.0007168831821994262,0.002136608472654272,0.001177488891590834
996,-0.005096265,1.65782,-2.5122745308707746,0.0490649136660574,377105206740020.94,0.15659499589361006,-2.425537954230075,0.3400342329801819,-0.22963503774406324,0.0669844079326284,0.010280464411862911,0.11731907758674444,0.06827361972430214
1554,-0.002306265,0.613257,-1.3988920508430982,0.0358130721395551,377105909878483.7,0.13417802072699528,-1.3981971490268617,0.028403330575939724,-0.03800658802267371,0.005267613827684303,0.001104589078631806,0.0020081204377701716,0.001988884124538941
1696,-0.001596265,0.67954,-1.1155581580761984,0.0324407397080796,377106090669483.7,0.21611971786323808,-1.1151830632169228,0.03406941188592674,-0.0331757515232808,0.002155528577939246,0.00033359249390406507,0.0006415968423116484,0.0009766389369068758
1836,-0.000896265,0.840261,-0.8362148835172833,0.029115904916484,377106271460483.7,0.10852463404409655,-0.8363212790576435,0.031090999286585066,-0.053067700089298044,0.005008289960649217,0.0014160852352033126,0.002643503852241343,0.0020669896639476794
3868,0.009263735,1.06985,3.218253215794971,-0.0191416972015314,377108945610922.8,0.06613802365655579,3.217776032561035,0.036352211734279806,-0.006659732750866809,0.0017186125711489359,0.0009226752438123748,0.001816281370066155,0.0008335473817816847
3998,0.009913735,0.903662,3.477643399313963,-0.0222290437937273,377109126401922.8,0.1279641333416286,3.475704097627321,0.03733576892671426,-0.022558866880660652,0.0035218745890920147,0.0010012109403224811,0.0019908553153535724,0.0017574157589603989
4134,0.01059374,0.847887,3.749007432766013,-0.0254589070543829,377109307192922.8,0.11804863259665078,3.7455977632400037,0.03383001733247792,-0.049352701607253587,0.003537295608769692,0.000995662004171209,0.0019102750733072532,0.0015909599339140295
5514,0.01749374,1.21852,6.50253399627532,-0.0582322785715391,377111224766631.8,0.016393232766601394,6.503905347472304,0.019896477827199055,-0.017041379946113454,0.001110983833210803,0.0013447950186124004,0.0022549509271969897,0.0003047536310903626
6093,0.02038874,0.998774,7.657817967486832,-0.0719828453167807,377112041422631.8,0.055103068712071435,7.660211498587334,0.04136241565107168,-0.014345537732592393,0.0016261542970490094,0.0011747268257504219,0.0024354853268674917,0.0009065971685805512
