t1,dt1,t2,dt2
483.32638953652304,2.771622312898389,423.9590133429731,2.771622312898389
403.21599943164165,3.844193036369029,436.16875940632906,3.844193036369029
484.2220487559302,2.8320612592623577,425.94468096362453,2.8320612592623577
403.1745521390187,3.853069549791727,434.463131338459,3.853069549791727
484.2410910553723,2.8333343445283705,425.87284060793354,2.8333343445283705
403.1734267808678,3.8532740798442715,434.5224041868039,3.8532740798442715
484.2415859922767,2.8333618310364193,425.87545083137957,2.8333618310364193
403.1733630128764,3.853281622588933,434.5202493948381,3.853281622588933
484.24163818392896,2.8333628262124186,425.8753585140125,2.8333628262124186
403.1733447173085,3.853283270220556,434.5203269882387,3.853283270220556
484.2416439510792,2.833362870719532,425.8753585140125,2.833362870719532
403.17334125270247,3.8532833845668963,434.5203276461535,3.8532833845668963
484.2416439510792,2.8333628949211,425.8753585140125,2.8333628949211
403.1733382347318,3.8532833269007556,434.52032763560464,3.8532833269007556
484.2416439510792,2.8333628794120895,425.8753585140125,2.8333628794120895
403.17333758112625,3.8532833875151145,434.52032691099885,3.8532833875151145
484.2416439510792,2.8333629049191553,425.8753585140125,2.8333629049191553
403.17333983937505,3.8532834382952244,434.52032591834234,3.8532834382952244
484.2416439510792,2.833362893832576,425.8753585140125,2.833362893832576
403.1733410182544,3.8532835173491717,434.52032491422636,3.8532835173491717
